Text,True_Sentiment,Score,vader_pred,roberta_pred,distilbert_pred,vader_pos,roberta_pos
"These things are just too darn cheesy. If you like a lot of flavor, you'll love these. Otherwise, you will overdose on their cheddary goodness.",Neutral,3,Positive,Negative,Negative,0.316,0.0
"I love Cherrybrook Kitchen and have tried almost all of their products.  I was excited to try the Ready to Spread frosting, as I do not usually keep the needed ingredients on hand for their box frosting.  I am not a picky eater, especially if the item contains sugar... but this was horrible!  The consistency is absolutely nothing like regular canned frosting.  It is not light and fluffy.  It is very gooey.  I cannot even imagine trying to spread it on a cake - it would rip it to pieces because it is so thick and gooey.  I did not even try it on a cake, because the taste and texture were so off-putting.  Seriously, do not waste your money!",Negative,1,Negative,Positive,Negative,0.095,0.8101329207420349
"I recently purchased this on sale at my local grocery store... now I know why it was on sale!<br /><br />This is not a fluffy, creamy white frosting you'd expect to find when opening the jar. Now, I wasn't expecting it to be just like Betty Crocker, but it was pretty bad. Like others said, it is a gluey/tacky mess that would completely ruin a cake if you tried to spread it on.  It reminds me of taffy that hasn't quite hit the right stage in the candy making process.  The taste isn't that great either, and it's sickeningly sweet (even for frosting).  The only thing it might be used for is a frosting for cinnamon buns?  I still don't think it would be the right consistency...",Negative,1,Negative,Negative,Negative,0.091,0.0
"I love using this to sweeten tea, coffee, etc. It tastes much better than other low glycemic sweeteners - there is no bitter aftertaste.",Positive,5,Positive,Positive,Positive,0.228,0.9815110564231873
"i love this product cant find it locally. Sometimes little out of the way stores have it.But i also love the chicken,pork chop bags.Every store i go in i look for them the lastplace i found it was at a meat market.",Positive,5,Positive,Positive,Positive,0.198,0.9098583459854126
"I love these chips. The flavor is not plain. They are sweet and spicy all at the same time.  The only drawback is it has a tad bit too much salt. But, it still a great flavor!",Positive,4,Positive,Positive,Positive,0.254,0.948574960231781
"For those who love salt and vinegar potato chips, this is the one to choose. The flavor is zippy and tart, with no unpleasant chemical aftertaste like the less ""natural"" versions of this snack. The 2-ounce bags are just right to share at lunch. The chips are a little greasy, and that's why I've given them 4 stars instead of 5.",Positive,4,Positive,Positive,Negative,0.13,0.8928337693214417
"TOTALLY ORGASMIC.  these chips are the best spicy chip i have ever tasted.  signed up for the subscribe and save option.  the case contained 15(FIFTEEN, FULL SIZED BAGS) OF CHIPS.  the price per unit equals $1.73  per package.  that is not even the cost of plain chips.  if you add the free shipping and the fast delivery, this deal is a steal.  so run like you stole something over to your computer and order the SPICY THAI CHIPS.  p.s.  even if you paid the going price of $30.00, you are still ahead of the curve.  ENJOY",Positive,5,Positive,Positive,Positive,0.16,0.9344168901443481
"I'm not sure how you review something that's as subjective as taste, but suffice to say that if you like chocolate and graham cracker, you'll like this (it doesn't taste exactly like either of those, but that's the closest analogy for me).  The sticks themselves are a cracker of some kind, dipped in chocolate, with one end left just normal cracker to you don't get your fingers covered in chocolate while eating.<br /><br />Here's some of the nitty gritty details - each of the boxes contain two individually sealed packets, that contain probably 20 or so of the sticks.  The packets themselves are really cleverly designed, with a little slit cut in the folded part, you just grab both sides and pull, and it opens up the package without any hassle - gotta love Japanese product design!  :)  Another nice design touch is that when you open it properly the grabbing-side of the stick is right at the top.<br /><br />Each of the packets has 210 calories (90 from fat), and about 80mg of sodium - so in terms of snacks this is a pretty good option.  It does contain milk, wheat, soybeans and sheanut - so if any of these are an issue for you, then you'll want to pass.  It also says on the packaging that the facility they're manufactured in also processes eggs and peanuts - the product doesn't use either of them, but the disclosure is nice if you're particularly sensitive to either.<br /><br />Overall a great snack at a great price - the 10 pack really is 20 of the packets, so that's quite a few snacks.  One note, if you live in a hot climate, don't order them in the summer because they will melt together (in shipping)!  Duh!  :)",Positive,5,Positive,Neutral,Positive,0.187,0.0
"The BEST investment I've ever made for ginger. It's unbelievable! It's fibrous like the real ginger, has that spicy kick to it, but it's perfect with the sugar - calms it down.  It's very worth the $40 for 5lbs of it!  I'll be getting more soon - I use these as a topper for my ginger cupcakes and cookies :)",Positive,5,Positive,Positive,Negative,0.305,0.9744222164154053
The holiday liquor cups were exactly what I was looking for.  The chocolate is<br />delicious and holds up well to the liquors,Positive,5,Positive,Positive,Positive,0.202,0.9800866842269897
"These looked like a perfect snack to through in with my trail mix.  Unfortunately, they arrived in a solid mass of melted chocolate.  I left them in my pantry for a few days, and when I opened them at room temperature they were still gooey.  I through them in the fridge and I've been breaking off hunks ever since.  They taste good to me, but the chocolate is all grainy after melting and then solidifying again.  I won't order them online again, but if I see them in a store I would pick them up.",Positive,5,Positive,Negative,Positive,0.083,0.0
I think these chips are awesome if not the best along with Poor Brothers Salt and Vinager chips. But if you buy these Spicy Thai chips in a smaller bag it might have too much of the flavor (at the bottom of the bag) in it then the larger bag at least that was my experience last time I bought these off amazon but that was like in 2010. So I would suggest trying Spicy Thai in a bag bigger then 5 ounces.,Positive,4,Positive,Positive,Negative,0.093,0.6078553199768066
"I am a coffee fanatic but have always stayed away from these because I never liked instant coffee and my assumption was that this would be similar.  I really enjoy the Starbucks VIA instant coffee - but I drink so much, it is rather expensive so I thought I would give this a try.  Both my wife and I were pleasantly surprised with the taste.  I don't think it equals fresh brewed but it is very acceptable.  I bought my first 38 pack at my local grocery store for about $7.  That seemed a little high but I figured I would check online to find the best price.  As I started calculating all of the online prices, they are charging about $7 bucks for the 19 count.  I would suggest that you check your local grocery stores as you might be able to find it cheaper.  So you don't have to do the math...$7 / 38 = .184 per single.  Online price $27 / 114 = .236 (shipping not calculated in).  Looking at a supposed discount coffee supplier, you can get a case of 12 boxes for $69, no sales tax and free shipping...sounds like a great deal??  12 x 19 = 228 singles so $69 / 228 = .302 per single - the most expensive at all.",Positive,5,Positive,Positive,Negative,0.168,0.5493221879005432
"My daughter is outgrowing baby food but will still eat this.  We tried 3rd foods on her and she doesn't like the texture of them.  This is really good for her and she likes it, so we keep buying it.",Positive,5,Positive,Positive,Positive,0.168,0.8450915813446045
"Both our twins love this one right from the start but it's not loaded with lentils (see ingredients below).  We introduced it when they were 7 months old and now they're 10 months.  I'm glad they are eating something green because we couldn't get them to eat the one with peas when we tried at 7 months, but we got them to eat the peas later at 9 months.<br /><br />Their favorite vegetable is sweet potato and we've also tried sweet potato with cinnamon. They love all the fruit varieties.<br /><br />I'm glad they love this one because lentils and brown rice form a complete protein, although a view of the ingredients shows that lentils is not one of the prime ingredients.<br /><br />This one also has carrots and I've heard all babies like carrots.  I don't know if they would like it without the carrots.  I haven't seen this one - lentils and brown rice - in our local stores, so I'm glad to get it here. Along with some others, we get this one with the subscription.  Of course, with twins one is forced to buy more in bulk and we're so busy that it's great to get these delivered.<br /><br />The packaging is excellent.  I've ordered an unbelievable number of cases of jars of different types and only had one jar arrive broken.<br /><br />Ingredients per label: Water, organic apples, organic carrots, organic brown rice, organic lentils, organic canola oil.<br /><br />This has 70 calories, 10% protein, 100% vitamin A, 4% vitamin C, 2% calcium and 4% iron.<br /><br />I'm informed that the daily intake percentage is based on an adult.",Neutral,3,Positive,Positive,Negative,0.205,0.9553834795951843
"I found these crisps at our local WalMart & figured I would give them a try. They were so yummy I may never go back to regular chips, not that I was a big chip fan anyway. The only problem is I can eat the entire bag in one sitting. I give these crisps a big thumbs up!",Positive,5,Positive,Positive,Negative,0.127,0.9593673944473267
"Tasty, convenient bars for people with celiac disease. They seem to have gotten smaller over time, but the taste and convenience outweigh the reduction in size (and the price).",Positive,4,Neutral,Positive,Negative,0.0,0.7689037919044495
"This item, WERTHER'S SUGAR FREE HARD CANDY, if consumed, will give you - or your friends, loose bowels. I purchased 12 bags and discovered more than a bowel problem: You can't return them. Need a laxative? I have ten unopened bags you can have - for free.",Negative,1,Positive,Negative,Negative,0.197,0.0
"Use frequently as we like to do Asian dishes at least once a week.  Love this product.  Fast shipping, as usual.  Would buy again.",Positive,5,Positive,Positive,Negative,0.242,0.9756367802619934
These are better in England. I don't know why. Maybe it's just nostalgia on my part.,Neutral,3,Positive,Neutral,Negative,0.172,0.47082552313804626
I used to love these growing up and stopped drinking water and lemon juice from this brand about 5-6 years ago. This stuff used to be so strong i used to just pour some in my mouth and get that alive feeling going. It feels like the product went through changes which added more water or something to make it not so strong. The stronger it is the less you use as well. The product is still really good but the taste is the same quality as the cheaper brand names almost. I thought  these would go fast but hey all lemon stuff i love unless it goes bad. This is a good product just wish it still had that hit me in the mouth chug sensation it used to be like.,Positive,4,Positive,Positive,Negative,0.237,0.4925898313522339
Green Mountain is my favorite brand. Nantucket is my favorite coffee from Green Mountain. Very smooth flavor. Not too strong and not too weak.,Positive,5,Positive,Positive,Positive,0.27,0.974716067314148
"Kettle brand chips are very crunchy.  I would say regular plain old Lays potato chips are at the ""soft"" end of the ""soft/crunchy"" spectrum.  Ruffles brand potato chips used to be considered the crunchiest, but Kettle brand chips are far more crunchy.  If you have a tender mouth or bad teeth (dentures) you might want to steer clear of Kettle brand.  Otherwise, you'll love these chips.  The Sea Salt & Vinegar chips are super TANGY.  I enjoy taking swigs of vinegar bottles from time to time.  I am dissapointed with all other Salt & Vinegar chips either because the chips are too soft and/or the vinegar taste whimpy and/or chemically.  Rest assured Kettle Sea Salt & Vinegar has a gourmet flavor.  The vinegar flavor has no chemical flavor and could NEVER be called whimpy!",Positive,5,Positive,Neutral,Negative,0.16,0.0
"I started my cat on Felidae Platinum about 3 weeks ago and she loves it. She's an older cat, somewhat overweight, and had a grouchy temperament. I first mixed it with her previous food and she figured out which was which -- she ate the Felidae and left the old food! She's now been on just the Felidae for about ten days now, off the old food entirely, and she is a much sweeter, happier cat. I think it must agree with her better or be more easily digested, or something. In any case, I am a happy purchaser of Felidae. I don't agree with the previous reviewer that cats don't like it. Clearly, mine does.",Positive,5,Positive,Positive,Positive,0.171,0.915114164352417
"The taste of these white cheddar flat breads is like a regular cracker - which is not bad, except that I bought them because I wanted a cheese taste.<br /><br />What was a HUGE disappointment? How misleading the packaging of the box is. The photo on the box (I bought these in store) makes it look like it is full of long flatbreads (expanding the length and width of the box). Wrong! The plastic tray that holds the crackers is about 2"" smaller all around - leaving you with about 15 or so small flatbreads.<br /><br />What is also bad about this is that the company states they use biodegradable and eco-friendly packaging. FAIL! They used a HUGE box for a ridiculously small amount of crackers. Not ecofriendly at all.<br /><br />Would I buy these again? No - I feel ripped off. The other crackers (like Sesame Tarragon) give you a little<br />more bang for your buck and have more flavor.",Negative,2,Negative,Negative,Negative,0.098,0.0
"Arrived slightly thawed. My parents wouldn't accept it. However, the company was very helpful and issued a full refund.",Positive,4,Positive,Neutral,Positive,0.145,0.0
My poland spring driver gave us this new tea to try and<br />our family really enjoyed it. I looked at the ingredients and was quite pleased<br />with the natural ingredients and no calories.,Positive,5,Positive,Positive,Positive,0.163,0.9773300886154175
"Baby loved this one, but as he has progressed I had to cut this one out because it is too runny and if I have to move the spoon quickly out of the way of his grabby hands, it is all over! I think they could use a little less water maybe a little more potato to make it more the consistency of the turkey dinner one.",Positive,4,Negative,Negative,Negative,0.037,0.0
